PUBID,ComID,SQFT,BEDS,BEDS08,FTE,MRI,Source,HDD,CDD,EUIpre,EUI,WkrDen,BedDen,BedDen08,MRIDen,ADJWT
441,AR,485000,292,260,883,1,247689011.2,3481,1526,518.8639407,510.6989923,1.820618557,0.602061856,0.536082474,0.002061856,2.222222222
442,AR,122428,70,70,300,1,119489366.9,625,2885,975.9970507,975.9970507,2.450419839,0.571764629,0.571764629,0.008168066,2.222222222
444,AR,260000,173,153,412,1,112880377.9,4736,1130,442.5322227,434.1552997,1.584615385,0.665384615,0.588461538,0.003846154,2.222222222
445,AT,275000,335,236,912,1,176831386.9,5601,1161,646.9327887,643.0232251,3.316363636,1.218181818,0.858181818,0.003636364,30.58333333
446,AR,187000,64,64,328.7,1,97021274.04,5601,1161,540.0068131,518.8303425,1.757754011,0.342245989,0.342245989,0.005347594,30.58333333
447,AR,1123522,511,511,1152.38,1,462692501.3,5601,1161,411.8232677,411.8232677,1.0256853,0.454819754,0.454819754,0.000890058,30.58333333
448,AT,478000,158,158,685.96,1,236018321.4,5601,1161,502.4004842,493.7621787,1.435062762,0.330543933,0.330543933,0.00209205,30.58333333
450,AR,198000,146,90,465,1,99787457.83,3912,1176,515.7167567,503.9770597,2.348484848,0.737373737,0.454545455,0.005050505,2.222222222
451,AT,73727,71,38,215,1,44322603.92,5601,1161,612.089654,601.1719441,2.916163685,0.963012194,0.515414977,0.013563552,30.58333333
452,AR,478483,362,180,1500,1,244274193.4,1177,2830,546.3472988,510.5180192,3.134907614,0.756557704,0.376188914,0.002089938,3
453,AR,182249,190,95,309,1,120074963.7,3912,1176,667.6432446,658.8511525,1.695482554,1.042529726,0.521264863,0.005486999,2.222222222
455,AR,245000,226,226,973,1,164897129.6,625,2885,681.7025698,673.0495086,3.971428571,0.92244898,0.92244898,0.004081633,2.222222222
457,AI,281984,110,110,382,1,169676702.2,2824,1773,624.3278067,601.7245739,1.354686791,0.390093055,0.390093055,0.0035463,75
458,AR,426203,230,230,934,1,216690655,2824,1773,508.4212336,508.4212336,2.191443983,0.539648947,0.539648947,0.0023463,2.222222222
460,AR,127979,167,167,278,1,70699232.75,445,3375,559.8031141,552.4283886,2.172231382,1.304901585,1.304901585,0.007813782,2.222222222
462,AR,190162,211,211,700,1,107675619,1218,3113,601.5692883,566.2309978,3.681071928,1.109580253,1.109580253,0.005258674,3
464,AR,205900,250,250,640,1,91246159.27,149,3903,457.7278255,443.1576458,3.108305002,1.214181642,1.214181642,0.004856727,2.222222222
466,AR,442610,412,326,1088,1,248805713.3,5467,778,625.7346663,562.1330592,2.458145998,0.930842051,0.736540069,0.002259325,38.82352941
469,AR,160482,110,84,411,2,94729979.63,4877,1146,612.112758,590.2841417,2.561034882,0.685435127,0.523423188,0.012462457,2.222222222
470,AR,168384,142,142,433,1,96401479.88,1466,2708,589.7680295,572.5097389,2.571503231,0.843310528,0.843310528,0.005938807,3
471,AR,252676,200,200,1000,1,148982033.3,625,2885,589.6168742,589.6168742,3.957637449,0.79152749,0.79152749,0.003957637,2.222222222
472,AR,242583,288,220,686,1,140925724,445,3375,591.6171951,580.9381698,2.82789808,1.187222518,0.90690609,0.0041223,2.222222222
473,AR,762780,700,653,2407,2,340484225.5,1931,3803,460.815413,446.3727753,3.155562548,0.917695797,0.856079079,0.002621988,21.83333333
474,AR,377922,188,188,752,1,180385961.5,4643,1163,483.2901007,477.3100308,1.989828589,0.497457147,0.497457147,0.002646049,2.222222222
475,AR,272703,389,389,783,1,178551823.6,445,3375,667.1849358,654.7482923,2.871255542,1.426460288,1.426460288,0.003666993,2.222222222
478,AR,224395,211,167,381,1,124979731.7,4272,1408,564.7061285,556.9630861,1.697898795,0.940306157,0.744223356,0.004456427,2.222222222
482,AR,455373,290,290,902,1,232455792.9,445,3375,522.3724132,510.4733766,1.980793767,0.636840568,0.636840568,0.002196002,2.222222222
483,AR,229709,264,264,653,1,132386286.5,47,4810,664.2273594,576.3217221,2.842727103,1.149280176,1.149280176,0.004353334,2.222222222
484,AR,222258,238,238,709,1,154865536.5,445,3375,700.940063,696.7827323,3.189986412,1.070827597,1.070827597,0.004499276,2.222222222
486,AR,142500,94,94,460,1,86513007.33,1867,2032,612.7228585,607.1088234,3.228070175,0.659649123,0.659649123,0.007017544,2.222222222
489,AR,359200,187,187,770,4,196466132,3844,1623,611.5054482,546.9547106,2.143652561,0.520601336,0.520601336,0.011135857,2.222222222
492,AR,259167,150,150,868,1,195544457.3,2824,1773,767.3525461,754.511405,3.349191834,0.578777391,0.578777391,0.003858516,2.222222222
